DATE_TIME,OBSERVATORY_NAME,SENSOR_TYPE,MINIMUM_TEMPERATURE,MAXIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MINIMUM_HUMIDITY,MAXIMUM_HUMIDITY,AVERAGE_HUMIDITY,MINIMUM_WIND,MAXIMUM_WIND,AVERAGE_WIND,MINIMUM_DIRECTIONOFWIND,MAXIMUM_DIRECTIONOFWIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_PRECIPITATION,MAXIMUM_PRECIPITATION,AVERAGE_PRECIPITATION,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,MAXIMUM_FELT_TEMPERATURE,AVERAGE_FELT_TEMPERATURE
2020-05-01 09:00:00,SAMANDIRA,AUTOMATED_WEATHER_SENSOR,19.1,20.8,19.925,60,66,63.1,2,6,4.02333,237,305,282.9,0,0,0,-99,-99,-99,19.4,21.8,20.644
2020-05-31 06:00:00,TUZLA_MGM,AUTOMATED_WEATHER_SENSOR,19.9,21.5,20.70667,60,69,65.65,1.6,4.7,2.83667,153,262,189.28333,0,0,0,-99,-99,-99,20.47,22.88,21.83717
2020-05-30 11:00:00,ATASEHIR,ICING_SENSOR,19,20.16,19.55738,43.53,60.96,51.00213,1.57,6.69,4.43426,134,270,230.37705,0,0.01,0.00836,41.9,43,42.43607,19.04,21.38,20.18459
2020-05-31 07:00:00,ZEKERIYAKOY,ICING_SENSOR,19.63,21.12,20.28903,54.21,63.02,58.07403,1.57,5.57,3.12226,90,243,190.8871,0,0,0,35.4,42.8,39.29194,20.55,22.31,21.4
2020-05-03 04:00:00,AKOM,AUTOMATED_WEATHER_SENSOR,15.18,16.73,15.77512,78.35,86.6,83.89146,0,1.623,0.89078,0,199,159.17073,0,0,0,17.4,18.4,17.87561,16.26,19.88,17.23415
2020-05-28 06:00:00,SILE_2,AUTOMATED_WEATHER_SENSOR,14.4,15.6,14.965,78,82,80.88333,0.8,1.9,1.33667,175,305,220.93333,-99,-99,-99,-99,-99,-99,15.42,16.74,15.94583
2020-05-02 20:00:00,BEYKOZ,ICING_SENSOR,15.83,18.07,16.60868,57.12,73.14,68.59226,0,2.53,0.97057,1,326,205.77358,-99,-99,-99,22.6,23.2,22.92075,15.84,19.32,17.87566
2020-05-02 01:00:00,HADIMKOY,AUTOMATED_WEATHER_SENSOR,14.34,14.68,14.50068,85.9,89,87.59661,2.032,4.258,3.07181,161,201,180.42373,0,0,0,17.2,17.5,17.30847,13.82,15.14,14.43831
2020-05-30 13:00:00,BEYLIKDUZU_H_DERE,ICING_SENSOR,20.8,21.81,21.345,39.7,44.37,42.25577,0.53,3.65,2.08231,6,338,253.88462,0,0.56,0.35788,29.8,40.9,32.08846,21.84,23.46,22.77788
2020-05-29 12:00:00,G_O_PASA,ICING_SENSOR,17.87,18.96,18.28449,99.6,100,99.74898,1.33,5.25,3.27776,5,350,55.02041,0,0,0,27.2,32.3,30.12857,18.12,19.92,18.8302
2020-05-01 14:00:00,RIVA_TUNEL_K,ICING_SENSOR,23.77,24.61,24.18707,44.55,47.31,45.89017,0.561,3.222,1.77033,39,243,147.03448,0,0,0,-99,-99,-99,25.44,26.86,26.11534
2020-05-21 03:00:00,ISTOC_MAHMUTBEY,ICING_SENSOR,16.07,16.21,16.14041,99.2,99.5,99.32245,2.13,7.97,4.50714,1,354,82.46939,0,0,0,20.4,20.6,20.52449,15.44,16.72,15.97143
2020-05-20 22:00:00,SILIVRI_ORMAN_SAHASI,AUTOMATED_WEATHER_SENSOR,13.8,15.6,14.64815,90,90,90,1.4,2.5,2.00926,74,107,94.64815,-99,-99,-99,-99,-99,-99,13.92,16.59,15.12111
2020-05-28 12:00:00,SILIVRI_ORMAN_SAHASI,AUTOMATED_WEATHER_SENSOR,14.7,15.7,15.275,80,90,88.93333,1,3.5,2.02833,187,257,225.18333,-99,-99,-99,-99,-99,-99,14.77,16.94,15.86633
2020-05-26 19:00:00,G_O_PASA,ICING_SENSOR,12.96,13.5,13.324,100,100,100,1.65,2.85,2.082,8,42,20.6,0,0,0,16.8,17.6,17.26,13.1,14.16,13.535
2020-05-30 18:00:00,ESENLER,ICING_SENSOR,18.68,18.68,18.68,75.11,75.11,75.11,0.61,0.69,0.65,120,257,188.5,1,60,30.5,23.3,26.6,24.95,20.07,20.55,20.31
2020-05-01 16:00:00,ZEKERIYAKOY,ICING_SENSOR,17.73,19.22,18.41034,60.92,63.01,61.85517,1.25,3.25,2.4169,146,255,193.75862,0,0,0,21,23.2,21.83448,18.44,20.51,19.27034
2020-05-22 09:00:00,BUYUKCEKMECE_MGM,AUTOMATED_WEATHER_SENSOR,15.2,16,15.505,70,75,72.35,1,3.8,2.69,0,359,48.83333,0,0,0,-99,-99,-99,15.13,16.72,15.80317
2020-05-30 04:00:00,SILE_ISAKOY,AUTOMATED_WEATHER_SENSOR,11.1,15.7,13.62833,85,100,95.53333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2020-05-03 16:00:00,SELIMPASA_KAVAKLI,ICING_SENSOR,12.84,14.75,13.31444,73.53,90.4,84.39667,0.85,4.53,2.28111,155,225,188.88889,0,0,0,19.7,23.2,20.86667,12.88,14.55,13.46222
2020-05-24 22:00:00,KAMILOBA,AUTOMATED_WEATHER_SENSOR,16.67,17.15,16.95143,50.91,56.64,54.32339,0,2.155,0.28964,0,359,51.21429,0,0,0,-99,-99,-99,16.74,21.18,17.26804
